EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 1897,107754,CLOONE LAKE (CARAGH RIVER AREA)         ,IE,+51:56:35,-009:52:26, 122, RR3,19490613,20210730,   17,Conor Daly                                        
 1898,107755,KNOCKADERRY RESV.NO.1                   ,IE,+52:12:36,-007:16:16,  71, RR3,19410101,20080531,   17,Conor Daly                                        
 1898,107762,WATERFORD (TYCOR)                       ,IE,+52:15:11,-007:07:52,  49, RR3,19410101,20210731,   17,Conor Daly                                        
 1898,107772,KNOCKADERRY RESV.NO.2                   ,IE,+52:12:29,-007:16:41,  62, RR3,19410101,19900831,   17,Conor Daly                                        
 1898,107809,MOONCOIN (VOC.SCH.)                     ,IE,+52:17:31,-007:15:11,  53, RR3,19410101,19931130,   17,Conor Daly                                        
 1899,107756,DAINGEAN G.S.                           ,IE,+53:17:31,-007:17:31,  78, RR3,19420120,19900430,   17,Conor Daly                                        
 1899,107861,DERRYGREENAGH                           ,IE,+53:23:31,-007:15:29,  90, RR3,19550401,20210731,   17,Conor Daly                                        
 1900,107740,MEELICK (VICTORIA LOCK)                 ,IE,+53:10:01,-008:04:52,  39, RR3,19410101,20210731,   17,Conor Daly                                        
 1900,107757,BANAGHER (CANAL HSE.)                   ,IE,+53:11:38,-007:59:38,  37, RR3,19430101,20150331,   17,Conor Daly                                        
 1901,107753,KESHCARRIGAN G.S.                       ,IE,+54:01:05,-007:56:31,  69, RR3,19420615,20210731,   17,Conor Daly                                        
 1901,107758,DRUMSHANBO                              ,IE,+54:03:40,-008:03:40,  54, RR3,19410101,20210731,   17,Conor Daly                                        
 1760,107755,KNOCKADERRY RESV.NO.1                   ,IE,+52:12:36,-007:16:16,  71, RR3,19410101,20080531,   17,Conor Daly                                        
 1760,107762,WATERFORD (TYCOR)                       ,IE,+52:15:11,-007:07:52,  49, RR3,19410101,20210731,   17,Conor Daly                                        
 1760,107809,MOONCOIN (VOC.SCH.)                     ,IE,+52:17:31,-007:15:11,  53, RR3,19410101,19931130,   17,Conor Daly                                        
 1760,107911,BELLE LAKE (FILTER STN.)                ,IE,+52:11:38,-007:01:26,  34, RR3,19571026,20140531,   17,Conor Daly                                        
 1904,107740,MEELICK (VICTORIA LOCK)                 ,IE,+53:10:01,-008:04:52,  39, RR3,19410101,20210731,   17,Conor Daly                                        
 1904,107763,PORTUMNA O.P.W.                         ,IE,+53:05:31,-008:11:31,  35, RR3,19410101,20210731,   17,Conor Daly                                        
 1704,107764,DUBLIN (GLASNEVIN)                      ,IE,+53:22:16,-006:16:19,  21, RR3,19410101,20210731,   17,Conor Daly                                        
 1704,107805,DUN LAOGHAIRE (HARBOUR YD.)             ,IE,+53:17:38,-006:08:10,  16, RR3,19410101,19890930,   17,Conor Daly                                        
 1704,107818,DUBLIN (CLONTARF)                       ,IE,+53:21:50,-006:13:30,   5, RR3,19410101,20011031,   17,Conor Daly                                        
 1704,107825,DUBLIN (RINGSEND)                       ,IE,+53:20:31,-006:12:50,   7, RR3,19410101,20210731,   17,Conor Daly                                        
 1704,107874,DUBLIN (MERRION SQUARE)                 ,IE,+53:20:20,-006:15:11,  13, RR3,19480101,20210731,   17,Conor Daly                                        
 1905,107765,KILCONLY G.S.                           ,IE,+53:34:19,-008:58:59,  46, RR3,19411126,19950502,   17,Conor Daly                                        
 1905,107847,MILLTOWN                                ,IE,+53:36:43,-008:53:31,  50, RR3,19440428,20210730,   17,Conor Daly                                        
 1907,107742,DRUMSNA (ALBERT LOCK)                   ,IE,+53:54:40,-008:00:00,  45, RR3,19410101,20210228,   17,Conor Daly                                        
 1907,107751,CLOONDRA O.P.W.                         ,IE,+53:43:59,-007:54:29,  48, RR3,19410101,19941130,   17,Conor Daly                                        
 1907,107767,DROMOD (RUSKEY)                         ,IE,+53:49:30,-007:55:08,  42, RR3,19410101,20180731,   17,Conor Daly                                        
 1908,107718,LOUTH G.S.                              ,IE,+53:57:11,-006:32:10,  37, RR3,19430323,19860731,   17,Conor Daly                                        
 1908,107768,ARDEE (ST.BRIGIDS HOSP.)                ,IE,+53:51:14,-006:32:46,  32, RR3,19520904,20210630,   17,Conor Daly                                        
